Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-24,165.11373901367188,133.8000030517578,113.01223754882812,269.5382385253906,297.0966796875,165.68537556627746,135.47000122070312,114.09573585492178,270.9455981450401,303.64666748046875,163.85220146265053,132.10000610351562,112.19712629619885,268.8736304974872,296.5,164.90677623350408,132.75,112.82336781022357,269.1668478166237,297.5633239746094,53841500,38627000,17734600,18137000,57259800
2022-08-25,167.5776824951172,137.27999877929688,115.95458221435547,272.52886962890625,296.07000732421875,167.68609658373745,137.4199981689453,116.02416459980168,272.6949992661562,302.9599914550781,165.92192009296824,134.27999877929688,113.42972373916109,268.2970079213942,291.6000061035156,166.34571105112042,135.25999450683594,113.5589460024437,271.0433067972825,302.3599853515625,51218200,37496300,16956800,16583400,53230000
2022-08-26,161.26014709472656,130.75,109.68219757080078,262.0127868652344,288.0899963378906,168.58299398508154,137.8300018310547,114.43370767328705,273.9850972197535,302.0,161.20101486509154,130.5,109.53309787228136,261.90529472128685,287.4700012207031,168.1099211092857,136.5500030517578,114.03609078144194,272.7536500390362,297.42999267578125,78961000,53322700,37245700,27549300,57163900
2022-08-29,159.0524139404297,129.7899932861328,108.7676773071289,259.2176818847656,284.82000732421875,160.55048008538364,131.9499969482422,110.28855480933758,261.33847484333194,287.739990234375,157.5149162955654,128.77000427246094,108.15137836756828,257.86895944803223,280.70001220703125,158.82572041272238,129.89999389648438,109.33427887822451,259.82362273007027,282.8299865722656,73314000,48101600,21191200,20338500,41864700
2022-08-30,156.6180419921875,128.72999572753906,108.2905502319336,257.0088806152344,277.70001220703125,160.21539196498296,132.07000732421875,109.84124777365112,260.99638024255165,288.4800109863281,155.4452029761161,126.8499984741211,107.15734701546133,254.7512471057002,272.6499938964844,159.7916010808355,131.25,109.5132132678535,260.6250193047335,287.8699951171875,77906200,49203000,27513300,22767100,50541800
2022-08-31,154.9524383544922,126.7699966430664,107.57483673095703,255.5428924560547,275.6099853515625,158.2639781293564,130.58999633789062,110.18915498957834,261.05502712342525,281.25,154.87359037905333,126.73999786376953,107.48536933143176,255.406051716846,271.80999755859375,157.99786809208942,129.4499969482422,109.99035034338391,259.3740454185862,280.6199951171875,87991100,53648700,28627000,24791800,52107300
2022-09-01,155.6817626953125,127.81999969482422,109.08577728271484,254.4971160888672,277.1600036621094,156.13511973195193,128.02000427246094,109.79154367151925,254.97602880437722,277.5799865722656,152.43920566957192,123.66000366210938,106.71996850402212,249.6202414585825,266.1499938964844,154.3807937267726,126.0,107.63448205707193,253.0018000901067,272.5799865722656,74229900,56636100,28360900,23263400,54287000
2022-09-02,153.56275939941406,127.51000213623047,107.20703887939453,250.25550842285156,270.2099914550781,158.04713803269738,131.3800048828125,110.07980922071086,258.7387389192011,282.3500061035156,152.73487827783597,126.38999938964844,106.62055986938213,248.7015548739836,269.0799865722656,157.44593542420824,129.5,109.93070194538042,255.76767255162795,281.07000732421875,76957800,57429800,24160700,22855400,50890100
2022-09-06,152.30125427246094,126.11000061035156,106.17324829101562,247.50921630859375,274.4200134277344,154.82432967651317,128.6199951171875,107.38597645768371,251.98538170723285,275.989990234375,151.47337297526548,124.73999786376953,105.1493898635895,246.22891435758206,265.739990234375,154.21327658173306,127.91999816894531,106.66033260970153,250.39235632621703,272.67999267578125,73714800,43888600,25068300,21328200,55860000
2022-09-07,153.71063232421875,129.47999572753906,108.79750061035156,252.23948669433594,283.70001220703125,154.41038374001005,129.82000732421875,109.32434733653615,252.9627024699416,283.8399963378906,151.39451980442465,125.4000015258789,106.26270722290033,247.4798869965814,272.2699890136719,152.58707487686897,126.12000274658203,106.42174942438324,248.92633346068814,273.1000061035156,87449600,47900300,23167000,24126700,50028900
2022-09-08,152.23226928710938,129.82000732421875,107.73387908935547,252.65977478027344,289.260009765625,154.1048600544352,130.27999877929688,108.94660715109153,254.5264818652429,289.5,150.47792793917256,127.0999984741211,106.52115861153055,249.01433179519904,279.760009765625,152.40966597426606,127.72000122070312,107.39590967354634,251.6726900665619,281.29998779296875,84923800,43988500,24238300,20319900,53713100
2022-09-09,155.1002655029297,133.27000427246094,109.99034881591797,258.4650573730469,299.67999267578125,155.54378723487187,133.69000244140625,110.32831822653726,259.2176216502665,299.8500061035156,152.51805827855026,130.75999450683594,108.37006139468133,254.38960207945766,291.25,153.2276750032018,130.91000366210938,108.41976634749524,254.59483332515947,291.6700134277344,68028800,49387600,23197700,22084700,54338100
2022-09-12,161.07286071777344,136.4499969482422,110.19910430908203,260.60540771484375,304.4200134277344,161.8908915280311,136.49000549316406,110.9545756623608,261.3872907179251,305.489990234375,157.0024374583422,134.0,109.274648237701,259.1491934961734,300.3999938964844,157.28824820471496,134.10000610351562,110.32832657870526,259.75513418244464,300.7200012207031,104956000,53826900,22966800,18747700,48674600
2022-09-13,151.62120056152344,126.81999969482422,103.69808959960938,246.27777099609375,292.1300048828125,158.22456513012241,131.39999389648438,107.65436592170875,254.49711760874706,297.3999938964844,151.15797805083207,126.2699966430664,103.46945742183634,245.8868294468606,290.3999938964844,157.59379629154282,131.00999450683594,107.15734670246523,252.97248284897586,292.8999938964844,122656600,72694000,38172900,33353300,68229600
2022-09-14,153.06997680664062,128.5500030517578,104.37403106689453,246.50253295898438,302.6099853515625,154.83416823515125,128.83999633789062,104.65236060298048,248.46696375261976,306.0,151.39449874644285,126.33000183105469,103.04202326308005,244.1960302017849,291.6400146484375,152.55747250443096,127.36000061035156,103.94659425535939,247.78283473838562,292.239990234375,87965400,45316800,26395100,23913000,72628700
2022-09-15,150.17237854003906,126.27999877929688,102.29649353027344,239.8175811767578,303.75,153.0009950551444,130.3699951171875,104.64241713455809,245.7011054054696,309.1199951171875,149.19666683175186,125.5,101.7398268793028,238.4884098902498,300.7200012207031,152.41949313430064,127.37999725341797,103.40981166439273,244.10806538102588,301.8299865722656,90481100,52887200,34188300,31530900,64795500
2022-09-16,148.52647399902344,123.52999877929688,102.18714904785156,239.19210815429688,303.3500061035156,149.167108171916,123.87000274658203,102.51517595124567,239.73941138872883,303.7099914550781,146.23007742711988,120.69999694824219,100.33823704438211,236.57285207293663,295.6000061035156,149.0291279719984,122.77999877929688,101.46149768962303,238.72297831373123,299.6099853515625,162278800,115667800,42797200,39791800,87087800
2022-09-19,152.25193786621094,124.66000366210938,102.45553588867188,238.97711181640625,309.07000732421875,152.3307858345421,124.70999908447266,102.71398799188877,239.58305259776108,309.8399963378906,146.94954358467322,121.80000305175781,100.94460088260365,235.3903068619585,297.79998779296875,147.15650634266927,122.16000366210938,101.14340552574834,236.9735791811867,300.0899963378906,81474200,47279700,23036800,26826900,60231200
2022-09-20,154.63705444335938,122.19000244140625,100.53704071044922,236.95401000976562,308.7300109863281,155.80004334278618,124.4000015258789,101.75971124946722,237.9899789735556,313.3299865722656,150.8721574135687,121.13999938964844,99.92073418731424,234.20771098725592,305.5799865722656,151.18753429290712,123.3499984741211,101.47143921044817,236.58263419492624,306.9100036621094,107689800,47698400,26517100,26660300,61642800
2022-09-21,151.50289916992188,118.54000091552734,98.6881332397461,233.53335571289062,300.79998779296875,156.45049997062233,123.76000213623047,102.2666700391546,242.04591952184435,313.79998779296875,151.3846347411177,118.44999694824219,98.6781907320393,233.4844861559874,300.6300048828125,155.0706831334898,122.48999786376953,101.0638844596154,238.73276637917772,308.2900085449219,101696800,58498900,31487300,28625600,62555700
